投保范围_投保人符合条件集合,保险责任_保险责任集合,保险责任_医院和病房限制条件集合,住院费用和门诊费用的范围,责任免除_免除范围集合,责任免除_退还条件集合,合作医院_合作医院集合,预授权_预授权限制范围集合
"['身体健康', '在中国境内有常驻地的中国公民', '香港', '澳门', '台湾居民作为本合同被保 险人的，须持有中国政府部门签发的合法有效的大陆通行证或就业证', '凡身体健康', '在中国境内有常驻地，出生满三周岁至七十五周岁', '持有外国护 照和中国政府部门签发的合法有效的外国人就业证或拥有中国境内居留证的 外国人']","['紧急救援责任', '住院医疗责任']",['不详'],"['', '住院费：包括检查费', '化验费', '护理费', 'ICU病房费', '诊断费', '治疗费', '病房（床位费）及膳食费用', '住院服装费', '', '手术费：包括手术费', '手术室使用费', '手术器材费', '手术用血浆', '器械及材料费', '麻醉费', '', '处方药品费：医院指定的主治医生开出的药品费。', '']","['（1）投保人对被保险人的故意杀害、故意伤害', '（2）被保险人故意犯罪、故意自伤、自杀或者抗拒依法采取的刑事强制措施', '（3）被保险人主动吸食或注射毒品（4）被保险人酒后驾驶、无合法有效驾驶证驾驶或驾驶无有效行驶证的机动车', '5）被保险人妊娠（含宫外孕）、流产、分娩（含剖宫产）（6）被保险人因整容、药物过敏、未遵医嘱使用药物、精神疾患或医疗事故（7）被保险人从事潜水、跳伞、攀岩、驾驶滑翔机或滑翔伞、探险、摔跤、武术比赛、特技表演、赛马、赛车等高风险运动（8）战争、军事冲突、暴乱或武装叛乱', '9）核爆炸、核辐射或核污染（10）在建筑工地、矿场、油田或者石油及化学工业现场等地进行职业活动发生意外事故时所产生的费用（11）被保险人患精神病或精神分裂、先天性疾病（包括先天性畸形）、遗传性疾病、性传播疾病，感染艾滋病病毒或患艾滋病', '（12）一般性体格检查、健康检查、疗养或康复治疗', '（13）牙齿治疗、美容手术、外科整形或预防性手术等非必须紧急治疗的手术', '（14）被保险人装配假眼、假牙、假肢或购买残疾用具', '（15）任何获取移植器官或者捐献器官所产生的费用', '（16）救援机构的授权医生认为可待被保险人返回其常驻地进行的非紧急治疗请求', '（17）未经救援机构的授权医生事先同意的转运和救护，紧急情况除外', '（18）本合同生效前被保险人已具有的，且已接受诊断、会诊或治疗的疾病', '（19）违反医生建议的旅行以及为了获得或寻找医疗治疗或外科手术的旅行。二、被保险人每次中国境内旅行连续超过60日的，我们对第60日以后发生的保险事故不承担保险责任。三、本合同提供的服务在实施过程中因非救援机构原因而造成的损失，或者在服务当中非因救援机构延误造成的损失，我们及救援机构不承担责任。四、若被保险人不能严格遵守救援机构决定的援助程序，我们及救援机构不承担责任，并立即停止所有的救援服务，且不支付任何由于不遵守救援机构的意见和没有征得救援机构全部同意而产生的费用。救援机构将以电报或者电传通知被保险人、与其同行的家属或者旅伴。若被保险人拒绝救援机构所建议的救护程序，我们及救援机构将不承担因此而带来的任何后果。五、由于我们及救援机构无法控制的外在原因，直接或间接造成无法履行救援责任或延误履行救援责任的，我们及救援机构不承担责任。无法控制的原因包括但不限于自然灾害、罢工、航班条件、当地政府或国际组织的行为']",无,不详,无
['不详'],"['一般住院保险金', '重症监护病房保险金']",['约定'],['不详'],"['（1）在中国大陆以外的国家或地区接受治疗', '（2）投保人对被保险人的故意杀害、故意伤害（3）被保险人殴斗或醉酒', '（4）被保险人故意犯罪、故意自伤、自杀或者抗拒依法采取的刑事强制措施', '（5）被保险人主动吸食或注射毒品（6）被保险人酒后驾驶、无合法有效驾驶证驾驶或驾驶无有效行驶证的机动车', '（7）未书面告知的既往症（8）先天性疾病、先天性畸形、变形和染色体异常（以世界卫生组织颁布的《疾病和有关健康问题的国际统计分类》（ICD-10）为准）', '（9）不孕不育治疗、人工受精、怀孕、分娩（含难产）、流产、堕胎、节育（含绝育）、产前产后检查以及由以上原因引起的并发症', '（10）感染艾滋病病毒或患艾滋病、性病、精神和行为障碍（以世界卫生组织颁布的《疾病和有关健康问题的国际统计分类》（ICD-10）为准）', '（11）法定传染病中的鼠疫、霍乱、伤寒和副伤寒、流行性脑脊髓膜炎、白喉、猩红热、斑疹伤寒、狂犬病、黑热病', '（12）疗养、矫形、视力矫正手术、美容、牙科保健及康复治疗、非意外伤害所致整容手术', '（13）植物人状态', '（14）椎间盘突出症', '（15）从事潜水、跳伞、攀岩、蹦极、驾驶滑翔机、探险、摔跤、武术比赛、特技表演、赛马、赛车等高风险运动', '（16）战争、军事冲突、暴乱或武装叛乱', '（17）核爆炸、核辐射或核污染']",无,不详,无
['不详'],['住院日额保险金'],['本公司指定医院或未在指定范围内的2级以上县、区级公立医院。'],['不详'],"['（1）被保险人在本主合同生效（或最后复效）之日起2年内自杀，但被保险人自杀时为无民事行为能力人的除外', '（2）投保人对被保险人的故意杀害、故意伤害', '（3）被保险人故意犯罪或者抗拒依法采取的刑事强制措施', '（4）被保险人主动吸食或注射毒品', '（5）被保险人酒后驾驶、无合法有效驾驶证驾驶或驾驶无有效行驶证的机动车', '（6）战争、军事冲突、暴乱或武装叛乱', '（7）核爆炸、核辐射或核污染', '（8）遗传性疾病，先天性畸形、变形或染色体异常', '（9）被保险人故意自伤，但被保险人自伤时为无民事行为能力人的除外', '（10）被保险人从事潜水、跳伞、滑雪、攀岩、蹦极、驾驶滑翔机或滑翔伞、探险活动、摔跤、武术比赛、特技表演、赛马、赛车等高风险运动。']",无,不详,无
"['身体健康，能正常学习', '工作或正常生活，符合本公司承保条件的人']",['肝癌住院日额保险金'],['指拥有合法经营执照的，有合格医生和护士提供二十四小时医疗护理服务的，具有系统性诊疗程序、手术设备和住院诊疗设施的符合中华人民共和国卫生部规格标准的二级或二级以上医院。医院不包括康复医院或康复病房、精神病院、疗养院、护理院、戒酒或戒毒中心、精神心理治疗中心、无相应医护人员或设备的二级或三级医院的联合医院或联合病房（或按约定为准）'],['不详'],"['（1）被保险人主动吸食或注射毒品（2）被保险人因药物过敏、整容手术或其他手术导致医疗伤害（3）被保险人未遵医嘱，私自服用、涂用、注射处方药（4）被保险人患遗传性疾病（见释义7.7）、先天性畸形、变形和染色体异常（以世界卫生组织颁布的《疾病和有关健康问题的国际统计分类（ICD-10）》为准）', '（5）本合同中特别约定的除外疾病及未告知的既往症（6）被保险人感染艾滋病病毒或患艾滋病（7）核爆炸、核辐射或核污染']",['发生上述事项导致被保险人初次罹患并被确诊为本合同指定的肝癌，必须住院治疗的'],不详,无
['不详'],['意外伤害住院津贴保险金'],['指拥有合法经营执照的，有合格医生和护士提供二十四小时医疗护理服务的，具有系统性诊疗程序、手术设备和住院诊疗设施的符合中华人民共和国卫生部规格标准的二级或二级以上医院。医院不包括康复医院或康复病房、精神病院、疗养院、护理院、戒酒或戒毒中心、精神心理治疗中心、无相应医护人员或设备的二级或三级医院的联合医院或联合病房。（具体以约定为准）'],['不详'],"['（1）投保人对被保险人的故意杀害、故意伤害', '（2）被保险人故意犯罪或者抗拒依法采取的刑事强制措施', '（3）被保险人主动吸食或注射毒品（4）被保险人酒后驾驶，无合法有效驾驶证驾驶或驾驶无有效行驶证的机动车（5）被保险人因妊娠（含宫外孕）、流产（因意外导致的流产除外）、分娩（含剖腹产）、药物过敏导致的伤害', '（6）被保险人因整容手术或其他手术导致医疗伤害', '（7）被保险人未遵医嘱，私自服用、涂用、注射处方药', '（8）细菌、病毒等病原微生物或寄生虫感染，但因意外伤害所致的伤口发生感染者不在此限', '（9）被保险人患精神和行为障碍、先天性疾病、先天性畸形、变形和染色体异常（以世界卫生组织颁布的《疾病和有关健康问题的国际统计分类（ICD-10）》为准）', '（10）被保险人从事潜水、跳伞、攀岩、蹦极、驾驶滑翔机、探险、摔跤、武术比赛、特技表演、赛马、赛车等高风险运动', '（11）被保险人感染艾滋病病毒或患艾滋病（12）战争、军事行动、暴乱或武装叛乱', '（13）核爆炸、核辐射或核污染。']","['发生上述前三条导致被保险人意外身故的，对该被保险人的保险责任终止，我们不退还该被保险人项下的未满期净保费', '发生上述其它几项导致被保险人意外身故的，对该被保险人的保险责任终止，若该被保险人未领取过理赔金，我们向您退还该被保险人项下的未满期净保费']",不详,无
['无'],"['住院补贴保险金', '恶性肿瘤住院补贴保险金', '重症监护病房补贴保险金', '出院慰问金']",['医院:是指经中华人民共和国卫生部门正式评定的二级以上(含二级)之公立医院，但不包括精神病院及专供康复、休养、戒毒、戒酒、护理、养老等非以直接诊治病人为目的之医疗机构。该医院必须具有符合国家有关医院管理规则设置标准的医疗设备，且全天二十四小时有合格医师及护士驻院提供医疗及护理服务。'],['不详'],"['1\xa0您对被保险人的故意杀害、故意伤害', '2\xa0被保险人自残或自伤', '3\xa0被保险人故意犯罪或者抗拒依法采取的刑事强制措施', '4\xa0被保险人主动吸食或注射毒品(见释义)', '5\xa0被保险人酒后驾驶(见释义)，无合法有效驾驶证驾驶(见释义)，或驾驶无有效行驶证(见释义)的机动车', '6\xa0战争(见释义)、军事冲突、暴乱或武装叛乱', '7\xa0核爆炸、核辐射或核污染', '8\xa0遗传性疾病(见释义)，先天性畸形、变形或染色体异常(见释义)、精神和行为障碍(见释义)', '9\xa0不孕不育治疗、人工受精、怀孕、分娩(含难产)、流产、堕胎、节育(含绝育)、产前产后检查以及由以上原因引起之并发症(见释义)', '10\xa0被保险人感染艾滋病病毒或患艾滋病(见释义)', '11\xa0身体检查、疗养、矫形(见释义)、视力矫正手术、美容、牙科保健及康复治疗、非意外事故所致整容手术', '12\xa0参加潜水(见释义)、跳伞、攀岩运动(见释义)、探险活动(见释义)、武术比赛(见释义)、摔跤比赛、特技(见释义)、赛马、赛车等高风险运动。']",无,不详,无
['不详'],"['住院补贴保险金', '重症监护病房额外补贴保险金', '门急诊费用补偿保险金', '救护车补贴保险金', '住院手术费用补偿保险金']",['卫生行政部门认定的二级甲等以上医院'],['不详'],"['(1)投保人对被保险人的故意杀害、故意伤害', '(2)被保险人故意自伤、故意犯罪或者抗拒依法采取的刑事强制措施', '(3)被保险人斗殴，吸食或注射毒品', '(4)被保险人矫形、整容、美容、器官移植，或修复、安装及购买残疾用具（如轮椅、假肢、助听器、假眼、配镜、假牙等）、一般健康体检、疗养、康复治疗、物理治疗、心理咨询或治疗', '(5)被保险人不孕不育治疗、人工受精、妊娠（含宫外孕）、流产、分娩（含剖宫产）、节育（含绝育）、产前产后检查以及由以上原因引起之并发症', '(6)被保险人未遵医嘱，私自使用药物，但按使用说明的规定使用非处方药除外', '(7)被保险人酒后驾驶、无合法有效驾驶证驾驶或驾驶无有效行驶证的机动车', '(8)被保险人所患遗传性疾病，先天性畸形、变形或染色体异常，以及未书面告知的既往症', '(9)被保险人感染艾滋病病毒或患艾滋病期间', '(10)被保险人从事潜水、跳伞、攀岩、蹦极、驾驶滑翔机或滑翔伞、探险、摔跤、武术比赛、特技表演、赛马、赛车等高风险运动', '(11)战争、军事冲突、暴乱或武装叛乱', '(12)核爆炸、核辐射或核污染。']",无,不详,无
"['持有准生证', '孕满 12 周', '身体健康的妇女', '']","['流产保险金', '孕妇身故保险金', '孕妇全残保险金', '婴儿身故保险金', '婴儿全残保险金', '婴儿先天畸形保险金', '婴儿先天畸形手术保险金']",['指依法设立的二级及二级以上医院或妇幼保健院，但不包括主要作为诊所、康复、疗养、戒酒、戒毒等或类似的医疗机构。'],['不详'],"['1)投保人和被保险人的故意行为', '2)被保险人故意自伤、故意犯罪或者抗拒依法采取的刑事强制措施', '3)因被保险人或其家属不遵守医院规章制度、不配合诊疗的行为', '4)战争、军事行动、暴乱、内乱或武装叛乱及核爆炸、核辐射或核污染、恐怖行为。被保险人在下列期间内发生的保险事故，本公司不承担给付保险金的责任：1)醉酒、主动吸食或注射毒品', '2)酒后驾驶、无合法有效驾驶证驾驶，或驾驶无有效行驶证的机动车', '3)患有性病、感染艾滋病病毒或患艾滋病。']",无,不详,无
['无'],['意外伤害住院津贴保险金'],"['医院包括境内医院和境外(见7.5)医院。境内医院指经中华人民共和国卫生部门评审确定的二级以上的公立医院，但不包括精神病院及专供康复、休养、戒毒、戒酒、护理、养老等非以直接诊治病人为目的的医疗机构。该医院必须具有符合国家有关医院管理规则设置标准的医疗设备，且全天24小时有合格医师及护士驻院提供医疗及护理服务。境外医院指拥有合法经营执照的境外医疗机构，但不包括主要作为诊所、康复护理、休养、静养、戒酒、戒毒等或类似的医疗机构', '其设立的主要目的为向受伤者和患病者提供留院治疗和护理服务，全天24小时有合格医师及护士驻院提供医疗及护理服务。']",['无'],"['(1)投保人对被保险人的故意杀害、故意伤害', '(2)被保险人故意自伤、自杀(但自杀时为无民事行为能力人的除外)、故意犯罪或者抗拒依法采取的刑事强制措施', '(3)被保险人主动吸食或注射毒品(见7.8)', '(4)被保险人酒后驾驶(见7.9)、无合法有效驾驶证驾驶(见7.10)或驾驶无有效行驶证(见7.11)的机动车(见7.12)', '(5)被保险人病理性猝死', '(6)被保险人因妊娠(含宫外孕)、流产、分娩(含剖宫产)导致的伤害', '(7)被保险人因药物过敏或精神疾患导致的伤害', '(8)被保险人因整容手术、变性手术或其他内、外科手术导致的医疗事故(见7.13)', '(9)牙齿治疗和镶补', '(10)被保险人未遵医嘱，私自使用药物，但按使用说明的规定使用非处方药(见7.14)不在此限', '(11)细菌、病毒等病原微生物或寄生虫感染，但因意外伤害所致的伤口发生感染者和经卫生防疫部门鉴定的食物中毒不在此限', '(12)被保险人参加潜水(见7.15)、跳伞、攀岩(见7.16)、滑雪、驾驶滑翔机或滑翔伞、驾驶动力伞、探险(见7.17)、摔跤、武术比赛(见7.18)、特技表演(见7.19)、赛马、赛车、蹦极、置身于任何飞行器(以乘客身份乘坐客运航班者除外)等高风险运动', '(13)战争、军事冲突、暴乱或武装叛乱', '(14)核爆炸、核辐射或核污染。']",无,不详,无
['不详'],"['意外住院保险金基本部分', '意外重症监护住院保险金可选部分']",['依法设立的国家卫生部医院等级分类中的二级或二级以上医疗机构。'],['不详'],"['1)投保人对被保险人的故意杀害、故意伤害', '2)被保险人故意自伤、自杀（被保险人自杀时为无民事行为能力人的除外）、故意犯罪或者人保健康[2010]医疗保险015号请扫描以查询验证条款抗拒依法采取的刑事强制措施', '3)被保险人因各种原因引起的流产、分娩、椎间盘突出、牙齿修复、牙齿矫形、视力矫正、理疗、整容', '4)被保险人因整容手术、药物过敏或其他医疗行为所致的事故', '5)被保险人未遵医嘱，服用、涂用、吸入或注射药物', '6)被保险人从事潜水、滑水、漂流、跳伞、攀岩、蹦极、驾驶滑翔机、探险、摔跤比赛、拳击比赛、武术比赛、特技表演、赛马、赛车等高风险职业活动', '7)战争、军事冲突、暴乱或武装叛乱及核爆炸、核辐射或核污染。被保险人在下列期间内发生的保险事故，本公司不承担给付保险金的责任：1)醉酒、主动吸食或注射毒品', '2)酒后驾驶、无合法有效驾驶证驾驶，或驾驶无有效行驶证的机动车。']",无,不详,无
['身体健康'],['意外伤害每日住院保险金'],"['指任何2级及以上公立医院，该种级别是按照中华人民共和国卫生部所颁布的分类标准划分的。本合同所提及的医院还包括我方所认可的香港、澳门、台湾地区医院和国外医院，该医院应该是一种合法成立并按照当地法律营运的机构，其主要业务是在居民住院的基础上接收、护理和治疗病人或伤员，并且拥有诊断和内外科设施，同时还有合格医师及护士驻院提供全天24小时治疗和护理服务。本合同中所提及的医院不包括：精神病院，主要治疗精神或心理疾病的机构，以及医院中治疗精神病的部门', '养老院、戒毒所或戒酒所', '健康水疗或自然治疗诊所，疗养院，或提供护理、康复、恢复治疗的机构']",['不详'],"['一、被保险人故意犯罪、抗拒依法采取的刑事强制措施、遭受司法当局拘禁或被判入狱期间', '被保险人自杀、自我伤害、挑衅、斗殴、不遵照医护意见或其它故意行为', '二、投保人对被保险人的故意杀害、故意伤害', '三、被保险人处于精神错乱、精神障碍或心理障碍状态', '四、之前已存在的病症，遗传性疾病，先天性畸形、变形或染色体异常，性病或与性病有关的疾病', '五、怀孕（含宫外孕）、分娩、流产、不孕症，不育症，避孕、节育或绝育手术，变性手术，人体试验，人工生殖或前述任一原因引起的并发症', '六、牙齿修复、牙齿整形、牙齿治疗及手术', '七、例行身体检查，任何与入院诊断、疾病或身体伤害没有直接联系的检查，任何从医疗角度看不必要的治疗和检查', '八、被保险人感染艾滋病病毒或患艾滋病', '九、预防性手术（如预防性阑尾切除），以调查研究为目的的住院，疗养，休养，康复治疗，美容，矫形，视力矫正手术，安装假肢，非意外事故所致的整容手术', '十、被保险人受酒精、毒品或药物的影响，除非按照医生处方服用且不是出于戒毒的目的', '十一、被保险人在任何军队、警察部队、民兵或准军事组织中服役、执行任务或受训期间（无论身体伤害是否在被保险人休假或未穿制服期间发生）', '十二、被保险人驾驶摩托车，或酒后驾驶、无合法有效驾驶证驾驶，或驾驶无有效行驶证的机动车', '十三、被保险人参与任何水、陆、空交通工具的竞赛，或作为职业运动员参与任何体育竞赛', '十四、被保险人参加任何空中运动、空中旅行或任何航空活动，但是以乘客身份付费乘坐民用或商业航班进行旅行时除外', '十五、被保险人进行跳伞、滑翔、潜水、滑雪、滑水、攀岩、攀登雪山、探险、武术比赛、摔跤比赛、拳击运动、特技表演、赛马、机索跳（蹦极）等高风险运动', '十六、战争、军事冲突、暴乱、武装叛乱，恐怖主义及任何阻碍或防止已经发生或预期会发生的恐怖主义的活动', '十七、核爆炸、核辐射或核污染']",无,不详,无
"['接受计划生育手术', '身体健康的自然 人']","['身故保险金', '医疗事故保险金', '并发症保险金']",['无'],['无'],"['1)投保人、被保险人的故意行为', '2)被保险人未遵医嘱服用、涂用、吸入或注射药物', '3)被保险人输血感染', '4)因被保险人或其家属不遵守医疗机构的规章制度、不配合诊疗的行为', '5)被保险人投保前已患且未愈的病症', '6)被保险人或其家属有意隐瞒病史、病情致使医生对手术适应症选择不当', '7)被保险人在无资格从事计划生育手术的医疗机构接受计划生育手术。']",无,不详,无
['身体健康'],"['意外伤害每日住院保险金', '保障疾病每日住院保险金']","['指任何二级及以上公立医院，该种级别是按照中华人民共和国卫生部所颁布的分类标准划分的。本合同所提及的医院还包括我方所认可的香港、澳门、台湾地区医院和国外医院，该医院应该是一种合法成立并按照当地法律营运的机构，其主要业务是在居民住院的基础上接收、护理和治疗病人或伤员，并且拥有诊断和内外科设施，同时还有合格医师及护士驻院提供全天24小时治疗和护理服务。本合同中所提及的医院不包括：精神病院，主要治疗精神或心理疾病的机构，以及医院中治疗精神病的部门', '养老院、戒毒所或戒酒所', '健康水疗或自然治疗诊所，疗养院，或提供护理、康复、恢复治疗的机构']",['不详'],"['一、投保人对被保险人的故意杀害、故意伤害', '二、被保险人故意犯罪、抗拒依法采取的刑事强制措施、遭受司法当局拘禁或被判入狱期间', '被保险人自杀、自我伤害、挑衅、斗殴、不遵照医护意见或其它故意行为', '三、被保险人处于精神错乱、精神障碍或心理障碍状态', '四、之前已存在的病症，遗传性疾病，先天性畸形、变形或染色体异常，性病或与性病有关的疾病', '五、怀孕（含宫外孕）、分娩、流产、不孕症，不育症，避孕、节育或绝育手术，变性手术，人体试验，人工生殖或前述任一原因引起的并发症', '六、牙齿修复、牙齿整形、牙齿治疗及手术', '七、例行身体检查，任何与入院诊断、疾病或身体伤害没有直接联系的检查，任何从医疗角度看不必要的治疗和检查', '八、被保险人感染艾滋病病毒或患艾滋病', '九、预防性手术（如预防性阑尾切除），以调查研究为目的的住院，疗养，休养，康复治疗，美容，矫形，视力矫正手术，安装假肢，非意外事故所致的整容手术', '十、被保险人受酒精、毒品或药物的影响，除非按照医生处方服用且不是出于戒毒的目的', '十一、被保险人在任何军队、警察部队、民兵或准军事组织中服役、执行任务或受训期间（无论身体伤害是否在被保险人休假或未穿制服期间发生）', '十二、被保险人驾驶摩托车，或酒后驾驶、无合法有效驾驶证驾驶，或驾驶无有效行驶证的机动车', '十三、被保险人参与任何水、陆、空交通工具的竞赛，或作为职业运动员参与任何体育竞赛', '十四、被保险人参加任何空中运动、空中旅行或任何航空活动，但是以乘客身份付费乘坐民用或商业航班进行旅行时除外', '十五、被保险人进行跳伞、滑翔、潜水、滑雪、滑水、攀岩、攀登雪山、探险、武术比赛、摔跤比赛、拳击运动、特技表演、赛马、机索跳（蹦极）等高风险运动', '十六、战争、军事冲突、暴乱、武装叛乱，恐怖主义及任何阻碍或防止已经发生或预期会发生的恐怖主义的活动', '十七、核爆炸、核辐射或核污染。']","['发生上述第一项情形导致被保险人住院的，本合同终止，投保人已交足2年以上保险费的，我方向保险金受益人退还保险单的现金价值', '发生上述第二项情形导致被保险人住院的，本合同终止，我方按本合同约定的犹豫期后解除合同情况处理']",不详,无
['身体健康'],"['意外伤害每日住院保险金', '保障疾病每日住院保险金']","['任何2级及以上公立医院，该种级别是按照中华人民共和国卫生部所颁布的分类标准划分的。本合同所提及的医院还包括我方所认可的香港、澳门、台湾地区医院和国外医院，该医院应该是一种合法成立并按照当地法律营运的机构，其主要业务是在居民住院的基础上接收、护理和治疗病人或伤员，并且拥有诊断和内外科设施，同时还有合格医师及护士驻院提供全天24小时治疗和护理服务。本合同中所提及的医院不包括：精神病院，主要治疗精神或心理疾病的机构，以及医院中治疗精神病的部门', '养老院、戒毒所或戒酒所', '健康水疗或自然治疗诊所，疗养院，或提供护理、康复、恢复治疗的机构']",['不详'],"['一、投保人对被保险人的故意杀害、故意伤害', '二、被保险人故意犯罪、抗拒依法采取的刑事强制措施、遭受司法当局拘禁或被判入狱期间', '被保险人自杀、自我伤害、挑衅、斗殴、不遵照医护意见或其它故意行为', '三、被保险人处于精神错乱、精神障碍或心理障碍状态', '四、之前已存在的病症，遗传性疾病，先天性畸形、变形或染色体异常，性病或与性病有关的疾病', '五、怀孕（含宫外孕）、分娩、流产、不孕症，不育症，避孕、节育或绝育手术，变性手术，人体试验，人工生殖或前述任一原因引起的并发症', '六、牙齿修复、牙齿整形、牙齿治疗及手术', '七、例行身体检查，任何与入院诊断、疾病或身体伤害没有直接联系的检查，任何从医疗角度看不必要的治疗和检查', '八、被保险人感染艾滋病病毒或患艾滋病', '九、预防性手术（如预防性阑尾切除），以调查研究为目的的住院，疗养，休养，康复治疗，美容，矫形，视力矫正手术，安装假肢，非意外事故所致的整容手术', '十、被保险人受酒精、毒品或药物的影响，除非按照医生处方服用且不是出于戒毒的目的', '十一、被保险人在任何军队、警察部队、民兵或准军事组织中服役、执行任务或受训期间（无论身体伤害是否在被保险人休假或未穿制服期间发生）', '十二、被保险人驾驶摩托车，或酒后驾驶、无合法有效驾驶证驾驶，或驾驶无有效行驶证的机动车', '十三、被保险人参与任何水、陆、空交通工具的竞赛，或作为职业运动员参与任何体育竞赛', '十四、被保险人参加任何空中运动、空中旅行或任何航空活动，但是以乘客身份付费乘坐民用或商业航班进行旅行时除外', '十五、被保险人进行跳伞、滑翔、潜水、滑雪、滑水、攀岩、攀登雪山、探险、武术比赛、摔跤比赛、拳击运动、特技表演、赛马、机索跳（蹦极）等高风险运动', '十六、战争、军事冲突、暴乱、武装叛乱，恐怖主义及任何阻碍或防止已经发生或预期会发生的恐怖主义的活动', '十七、核爆炸、核辐射或核污染。']",无,不详,无
['身体健康'],"['意外伤害每日住院保险金', '保障疾病每日住院保险金']","['任何二级及以上公立医院，该种级别是按照中华人民共和国卫生部所颁布的分类标准划分的。本合同所提及的医院还包括我方所认可的香港、澳门、台湾地区医院和国外医院，该医院应该是一种合法成立并按照当地法律营运的机构，其主要业务是在居民住院的基础上接收、护理和治疗病人或伤员，并且拥有诊断和内外科设施，同时还有合格医师及护士驻院提供全天24小时治疗和护理服务。本合同中所提及的医院不包括：精神病院，主要治疗精神或心理疾病的机构，以及医院中治疗精神病的部门', '养老院、戒毒所或戒酒所', '健康水疗或自然治疗诊所，疗养院，或提供护理、康复、恢复治疗的机构。']",['不详'],"['一、投保人对被保险人的故意杀害、故意伤害', '二、被保险人故意犯罪、抗拒依法采取的刑事强制措施、遭受司法当局拘禁或被判入狱期间', '被保险人自杀、自我伤害、挑衅、斗殴、不遵照医护意见或其它故意行为', '三、被保险人处于精神错乱、精神障碍或心理障碍状态', '四、之前已存在的病症，遗传性疾病，先天性畸形、变形或染色体异常，性病或与性病有关的疾病', '五、怀孕（含宫外孕）、分娩、流产、不孕症，不育症，避孕、节育或绝育手术，变性手术，人体试验，人工生殖或前述任一原因引起的并发症', '六、牙齿修复、牙齿整形、牙齿治疗及手术', '七、例行身体检查，任何与入院诊断、疾病或身体伤害没有直接联系的检查，任何从医疗角度看不必要的治疗和检查', '八、被保险人感染艾滋病病毒或患艾滋病', '九、预防性手术（如预防性阑尾切除），以调查研究为目的的住院，疗养，休养，康复治疗，美容，矫形，视力矫正手术，安装假肢，非意外事故所致的整容手术', '十、被保险人受酒精、毒品或药物的影响，除非按照医生处方服用且不是出于戒毒的目的', '十一、被保险人在任何军队、警察部队、民兵或准军事组织中服役、执行任务或受训期间（无论身体伤害是否在被保险人休假或未穿制服期间发生）', '十二、被保险人驾驶摩托车，或酒后驾驶、无合法有效驾驶证驾驶，或驾驶无有效行驶证的机动车', '十三、被保险人参与任何水、陆、空交通工具的竞赛，或作为职业运动员参与任何体育竞赛', '十四、被保险人参加任何空中运动、空中旅行或任何航空活动，但是以乘客身份付费乘坐民用或商业航班进行旅行时除外', '十五、被保险人进行跳伞、滑翔、潜水、滑雪、滑水、攀岩、攀登雪山、探险、武术比赛、摔跤比赛、拳击运动、特技表演、赛马、机索跳（蹦极）等高风险运动', '十六、战争、军事冲突、暴乱、武装叛乱，恐怖主义及任何阻碍或防止已经发生或预期会发生的恐怖主义的活动', '十七、核爆炸、核辐射或核污染。']","['发生上述第一项情形导致被保险人住院的，本合同终止，投保人已交足2年以上3保险费的，我方向保险金受益人退还保险单的现金价值', '发生上述第二项情形导致被保险人住院的，本合同终止，我方按本合同约定的犹豫期后解除合同情况处理']",不详,无
